study_id,team_id,study,alpha,tstat,se,precision,sample_size,weight,year_data,year_publication,country,depvar_individual_funds,depvar_equalw_funds,depvar_valuew_funds,depvar_net_returns,depvar_gross_returns,data_cross_section,data_longitudal,data_midyear,database_default,database_cst,database_cisdm,database_handcollect,database_other,number_of_databases,market_developed,market_world,market_bull,market_bear,strategy_all,strategy_equity,strategy_events,strategy_relative_value,strategy_global,strategy_fund_of_funds,strategy_multi,strategy_other,method_iv,model_1factor,model_3factor,model_4factor,model_7factor,model_uncertainty,model_asset_based,model_other,survivorship_treated,backfilling_treated,publication_year,citations,impact_factor,top3,top5,reference,alpha_m,alpha_y,alpha_q,t_stat,t_hetero_std,aux_ts_all,se_monthly,starty,endy,n_obs_tot,n_time_series,n_cross_section,depvar_index,depvar_portfolio,market_development,fund_old,fund_young,fund_small,fund_large,lockup_restriction,country.1,market_recession,market_growth,alpha_monthly,data_monthly,method_ols,method_gmm,method_other
1,23,Eling & Faust (2010),0.79,3.22,0.2453416149068323,4.075949367088608,81.0,0.03333333333333333,2003.5,2010,Global funds,0,1,0,1,0,1,0,2.6741486494265287,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.79,,,3.22,,,,2000,2006,,81.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.46,2.92,0.15753424657534248,6.347826086956521,81.0,0.03333333333333333,2003.5,2010,Global funds,0,1,0,1,0,1,0,2.6741486494265287,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.46,,,2.92,,,,2000,2006,,81.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.57,3.5,0.16285714285714284,6.140350877192983,81.0,0.03333333333333333,2003.5,2010,Global funds,0,1,0,1,0,1,0,2.6741486494265287,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.57,,,3.5,,,,2000,2006,,81.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.05,0.28,0.17857142857142858,5.6,81.0,0.03333333333333333,2003.5,2010,Global funds,0,1,0,1,0,1,0,2.6741486494265287,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.05,,,0.28,,,,2000,2006,,81.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.18,0.31,0.5806451612903225,1.7222222222222225,20.0,0.03333333333333333,2008.0,2010,Global funds,0,1,0,1,0,1,0,2.9444389791664403,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.18,,,0.31,,,,2007,2008,,20.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),-0.01,-0.03,0.33333333333333337,2.9999999999999996,20.0,0.03333333333333333,2008.0,2010,Global funds,0,1,0,1,0,1,0,2.9444389791664403,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",-0.01,,,-0.03,,,,2007,2008,,20.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),-0.2,-0.41,0.48780487804878053,2.05,20.0,0.03333333333333333,2008.0,2010,Global funds,0,1,0,1,0,1,0,2.9444389791664403,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",-0.2,,,-0.41,,,,2007,2008,,20.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.04,0.2,0.19999999999999998,5.0,20.0,0.03333333333333333,2008.0,2010,Global funds,0,1,0,1,0,1,0,2.9444389791664403,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.04,,,0.2,,,,2007,2008,,20.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),0.05,0.17,0.29411764705882354,3.4,20.0,0.03333333333333333,2008.0,2010,Global funds,0,1,0,1,0,1,0,2.9444389791664403,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",0.05,,,0.17,,,,2007,2008,,20.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
1,23,Eling & Faust (2010),-0.12,-0.27,0.4444444444444444,2.25,20.0,0.03333333333333333,2008.0,2010,Global funds,0,1,0,1,0,1,0,2.9444389791664403,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.302585092994046,2.4495672833426916,1.58,0,0,"Eling, M. & R. Faust (2010): The performance of hedge funds and mutual funds in emerging markets. Journal of Banking & Finance 34(8): 1993-2009.",-0.12,,,-0.27,,,,2007,2008,,20.0,1.0,0,1,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
2,7,Bali et al. (2013),0.34,1.99,0.17085427135678394,5.852941176470588,204.0,0.09090909090909091,2003.0,2013,Global funds,0,1,0,1,0,1,0,2.6390573296152584,1,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2.5649493574615367,2.3136349291806306,4.954,0,0,"Bali, T.G., Brown, S.J. & K.O. Demirtas (2013): Do Hedge Funds Outperform Stocks and Bonds? Management Science 59(8): 1887-1903.",0.34,,,1.99,,,,1994,2011,,204.0,1.0,1,0,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
2,7,Bali et al. (2013),0.48,2.12,0.22641509433962262,4.416666666666667,204.0,0.09090909090909091,2003.0,2013,Global funds,0,1,0,1,0,1,0,2.6390573296152584,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2.5649493574615367,2.3136349291806306,4.954,0,0,"Bali, T.G., Brown, S.J. & K.O. Demirtas (2013): Do Hedge Funds Outperform Stocks and Bonds? Management Science 59(8): 1887-1903.",0.48,,,2.12,,,,1994,2011,,204.0,1.0,1,0,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
2,7,Bali et al. (2013),0.55,1.43,0.38461538461538464,2.5999999999999996,204.0,0.09090909090909091,2003.0,2013,Global funds,0,1,0,1,0,1,0,2.6390573296152584,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,2.5649493574615367,2.3136349291806306,4.954,0,0,"Bali, T.G., Brown, S.J. & K.O. Demirtas (2013): Do Hedge Funds Outperform Stocks and Bonds? Management Science 59(8): 1887-1903.",0.55,,,1.43,,,,1994,2011,,204.0,1.0,1,0,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
2,7,Bali et al. (2013),0.47,7.0,0.06714285714285714,14.893617021276595,204.0,0.09090909090909091,2003.0,2013,Global funds,0,1,0,1,0,1,0,2.6390573296152584,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,2.5649493574615367,2.3136349291806306,4.954,0,0,"Bali, T.G., Brown, S.J. & K.O. Demirtas (2013): Do Hedge Funds Outperform Stocks and Bonds? Management Science 59(8): 1887-1903.",0.47,,,7.0,,,,1994,2011,,204.0,1.0,1,0,world market,0,0,0,0,0,i_region_all,0,0,1,1,1,0,0
