IDStudy,t,PCC,SE PCC,quadratic,Zscore,NPL,profitability,profit_volat,capitalization,dummies,DtoD,Lerner,Hstatistic,Concentration,HHI,Boone,developed,undeveloped,GMM,2SLS,Logit,FE,RE,OLS,T,Samplesize,endogeneity,macro,someAveraged,sampleyear,IFrecursive,citations,reviewed_journal,regulation,global,ownership,firstpub,investperst
2,4.97489539748954,0.046183280622449745,0.009283266668431866,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,2.6390573296152584,11579,1,0,0,10.5,0.596,1.791759469228055,1,0,1,0,11,0.037037037037037035
3,0.40937901498929335,0.025331793260558292,0.06187858276326354,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2.1972245773362196,261,0,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,-0.07223950233281493,-0.004471468236476683,0.06189782725628649,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.1972245773362196,261,0,0,0,12.5,0.005,0.8754687373538999,1,0,1,1,7,0.05
3,-1.2534618517512897,-0.08254839289579241,0.06585632644540311,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,229,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,1,7,0.05
3,-1.1996723325824288,-0.08431703421328796,0.07028338649086464,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,201,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,-0.4337227018791264,-0.030578134974382692,0.07050157817864112,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,201,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,1.2184234068669944,0.07477881915879425,0.061373426296099765,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.1972245773362196,264,0,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,1.465208810544754,0.08981293046154833,0.061297017745993845,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.1972245773362196,264,0,0,0,12.5,0.005,0.8754687373538999,1,0,1,1,7,0.05
3,2.318446015650555,0.14985023148351173,0.06463391015876806,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,234,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,1,7,0.05
3,1.0828005031314694,0.07541072666357032,0.06964415554433322,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,205,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,2.0672117659158693,0.1428986052553881,0.06912625383209228,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,205,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,1.6493506493506493,0.10137230589193706,0.06146194924156814,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,2.1972245773362196,262,0,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,2.78125,0.1693444991264234,0.0608879097982646,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,2.1972245773362196,262,0,0,0,12.5,0.005,0.8754687373538999,1,0,1,1,7,0.05
3,2.2275280898876404,0.14562992867702043,0.06537737025097008,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,229,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,1,7,0.05
3,1.114795918367347,0.07838967566240189,0.07031751226467171,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,201,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,2.302250803858521,0.16028860220806823,0.06962256324959389,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,201,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,-2.3935018050541514,-0.14440479838722098,0.060332019839004845,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.1972245773362196,269,0,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,-2.3017492711370267,-0.1389781910067746,0.06037937874011866,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2.1972245773362196,269,0,0,0,12.5,0.005,0.8754687373538999,1,0,1,1,7,0.05
3,-1.291032148900169,-0.08322024649447592,0.06446024335286406,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,239,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,1,7,0.05
3,-3.3788079470198675,-0.2270694301633969,0.06720400618320842,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,210,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
3,-2.5154394299287413,-0.17102439520854243,0.06798986816128079,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2.1972245773362196,210,1,0,0,12.5,0.005,0.8754687373538999,1,0,1,0,7,0.05
4,-18.533333333333335,-0.06505307712836447,0.0035100581184369316,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80822,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-7.188034188034187,-0.025275896251329064,0.003516385090850774,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80822,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-15.283367556468171,-0.05368186497420923,0.003512436953169407,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80822,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-16.184210526315788,-0.06621209982342963,0.004091154135431424,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,59484,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-21.044083526682137,-0.07582045504068903,0.0036029345228816945,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,2.772588722239781,76592,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-18.22935779816514,-0.06399051062910456,0.0035102997778421723,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80822,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-18.238532110091743,-0.0640225832441969,0.003510292542061098,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80822,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-16.719424460431654,-0.058709282835202554,0.003511441615358501,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80822,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-16.058252427184467,-0.05690879286861539,0.0035438970166066413,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,79365,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
4,-13.705882352941178,-0.04831623656656337,0.003525218976959559,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80281,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
4,-18.862745098039216,-0.06758765533320675,0.003583129336791626,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,77533,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
4,-16.83673469387755,-0.05913983174695953,0.003512547582546688,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80767,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
4,-15.065040650406504,-0.054062249131037056,0.0035885896616932316,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,77425,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
4,-18.01851851851852,-0.06459716604002508,0.0035850431306899836,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,77481,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
4,-23.06712962962963,-0.08286006083050472,0.003592127072632016,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,76967,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
4,-20.473118279569892,-0.07182880496308555,0.003508444780234746,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,80821,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-14.328125,-0.05077981413294675,0.0035440655447203837,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,79410,1,0,0,9.0,0.596,2.995732273553991,1,0,0,0,8,0.05263157894736842
4,-11.438016528925619,-0.041637179560042176,0.0036402447447724737,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,75333,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
4,-1.8952380952380954,-0.006904954044101289,0.003643317460455454,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,2.772588722239781,75333,1,0,0,9.0,0.596,2.995732273553991,1,1,0,0,8,0.05263157894736842
5,-2.0597609561752988,-0.06535655457098344,0.031730164791715365,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-2.8309608540925266,-0.08362552132953373,0.029539624756252644,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,1138,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-3.054,-0.09000563573799476,0.029471393496396454,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,1142,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-1.7164750957854404,-0.05474854898719729,0.03189591804834485,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,980,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-2.1403508771929824,-0.06790211686586506,0.03172475951929761,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-2.07421875,-0.06581332262791596,0.031729210155831425,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-1.6492307692307693,-0.05237052180867946,0.031754514156382134,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
5,-2.190677966101695,-0.06949110972805288,0.03172128026270885,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,2.302585092994046,989,0,1,0,0.0,0.239,4.164077900236776,1,0,1,0,3,0.041666666666666664
