id,idstudy,e,se,t,nobs,good,r,ser,precr,invperstudy
44,4,-0.025,0.012755102040816327,-1.96,206,1,-0.13530388815228414,0.06903259599606335,14.485910395967522,38
45,4,-0.017,0.01033434650455927,-1.645,206,1,-0.11386713904634055,0.06922014531692434,14.446661379017645,38
46,4,-0.055,0.02806122448979592,-1.96,227,1,-0.129002769317828,0.06581773944787143,15.193472282529756,38
47,4,-0.047,0.023979591836734693,-1.96,227,1,-0.129002769317828,0.06581773944787143,15.193472282529756,38
48,4,-0.027,0.010465116279069767,-2.58,227,1,-0.1687838408185119,0.06542009334050848,15.285823497607186,38
49,4,-0.021,0.010714285714285714,-1.96,227,1,-0.129002769317828,0.06581773944787143,15.193472282529756,38
50,4,-0.008,0.0031007751937984496,-2.58,203,1,-0.17818274444095328,0.06906307924067956,14.47951656651561,38
51,4,-0.007,0.0027131782945736434,-2.58,203,1,-0.17818274444095328,0.06906307924067956,14.47951656651561,38
52,4,0.008,0.0031007751937984496,2.58,184,1,0.18685039134467912,0.07242263230413919,13.807838353630883,38
53,4,-0.005,0.0025510204081632655,-1.96,184,1,-0.1430079502658323,0.07296323993154709,13.705531729925694,38
54,4,-0.013,0.0066326530612244895,-1.96,237,1,-0.12629621040939837,0.06443684204561141,15.51907213721233,38
55,4,-0.011,0.004263565891472868,-2.58,206,1,-0.17692144475069924,0.06857420339174389,14.582743226156044,38
56,4,-0.018,0.006976744186046511,-2.58,237,1,-0.16528399230047122,0.06406356290715938,15.609497109131995,38
57,4,-0.007,0.007,-1.0,226,1,-0.0663723311599972,0.0663723311599972,15.066519173319362,38
58,4,-0.004,0.0024316109422492403,-1.645,202,1,-0.11497425117002372,0.06989316180548553,14.307551327882772,38
59,4,-0.013,0.0066326530612244895,-1.96,226,1,-0.129283098807138,0.0659607646975194,15.160527695301376,38
60,4,-0.001,0.00038,-2.631578947368421,97,1,-0.2581403845564986,0.09809334613146949,10.19437137621701,38
61,4,-0.0008,0.00034,-2.3529411764705883,97,1,-0.23236578534420665,0.09875545877128783,10.126022525154225,38
62,4,-0.0008,0.00041,-1.9512195121951221,56,1,-0.25230693389509007,0.12930730362123366,7.733515215267308,38
63,4,-0.0018,0.0005,-3.5999999999999996,93,1,-0.34972890326046036,0.09714691757235011,10.293687385966216,38
64,4,-0.0016,0.0003,-5.333333333333334,93,1,-0.4839604832151229,0.09074259060283554,11.020183503211024,38
65,4,-0.002,0.0008,-2.5,52,1,-0.3275608910402092,0.13102435641608368,7.632168761236874,38
66,5,0.73227,0.5305,1.3803393025447692,48,0,0.19539451097134816,0.1415554209107299,7.064370926710303,5
67,5,0.20842,0.11746,1.7743912821386003,48,0,0.2481036166587483,0.13982463685220506,7.151815463372182,5
68,5,-1.95217,1.588576,-1.228880456459118,48,0,-0.17464756253489794,0.14211924489231884,7.036344731198662,5
69,5,-1.7574,1.05627,-1.663779147377091,48,0,-0.23350703031553147,0.14034737163502128,7.125177966285954,5
70,5,0.72891,0.79098,0.9215277251005082,48,0,0.13184984353507634,0.14307745707889133,6.989221226154523,5
71,6,-0.1958,0.0101,-19.386138613861387,178,0,-0.8237701799069997,0.12492741660167,8.004648036455372,46
72,6,-0.162,0.0558,-2.903225806451613,170,0,-0.2173443903321743,0.07486306778108225,13.357721365683842,46
73,6,-0.355,0.146,-2.4315068493150687,55,0,-0.31154677747838805,0.12812909721646382,7.8046284702262465,46
74,6,-0.121,0.0458,-2.6419213973799125,115,0,-0.23920817914354156,0.09054326119648103,11.044444244502927,46
75,6,-0.232,0.0834,-2.7817745803357314,99,0,-0.26925380844069563,0.096792101827388,10.331421480890326,46
76,6,-0.416,0.0681,-6.108663729809105,71,0,-0.586949001133741,0.0960846802336725,10.407486371064113,46
77,6,-0.0876,0.0572,-1.5314685314685315,82,0,-0.16675443258304984,0.10888531442637502,9.183974948946583,46
78,6,-0.472,0.168,-2.8095238095238093,88,0,-0.28690512348675173,0.10211877276647097,9.792518778959844,46
79,6,-0.207,0.0604,-3.4271523178807946,33,0,-0.5123412699307444,0.1494947473614346,6.689198233716482,46
80,6,-0.137,0.084,-1.630952380952381,137,0,-0.13800831499962807,0.08461823693407852,11.817783449908626,46
81,6,-0.162,0.0487,-3.3264887063655033,170,0,-0.24721121362747273,0.07431596360282668,13.456059122699232,46
82,6,-0.355,0.218,-1.628440366972477,55,0,-0.21446940941480458,0.13170234155613353,7.592879429359157,46
83,6,-0.121,0.0396,-3.0555555555555554,115,0,-0.2740255168136028,0.08968107822990638,11.150624186703023,46
84,6,-0.232,0.075,-3.0933333333333337,99,0,-0.296875515074772,0.09597268806296508,10.419631044864838,46
85,6,-0.416,0.101,-4.118811881188118,71,0,-0.43915513252014743,0.10662179900128581,9.378945106600016,46
86,6,-0.0876,0.0933,-0.9389067524115756,82,0,-0.1031320239979253,0.10984266939505057,9.103930244115674,46
87,6,-0.472,0.157,-3.006369426751592,88,0,-0.30519038871178844,0.10151459963506523,9.850799821847295,46
88,6,-0.207,0.0828,-2.5,33,0,-0.39904344223381105,0.15961737689352443,6.264982043070834,46
89,6,-0.137,0.145,-0.9448275862068967,137,0,-0.08046035206496611,0.08515876678408821,11.742772209646988,46
90,6,-0.1491,0.0708,-2.1059322033898304,157,1,-0.16574697211257067,0.07870479963494302,12.705705428872273,46
91,6,-0.219,0.185,-1.183783783783784,50,1,-0.16511447533950033,0.13948026455619889,7.169473066184812,46
92,6,-0.1358,0.0495,-2.7434343434343433,107,1,-0.2563549487715312,0.0934430777922739,10.701702294342475,46
93,6,-0.2671,0.106,-2.5198113207547173,90,1,-0.256710365389544,0.10187682040917881,9.81577552168975,46
94,6,-0.2261,0.18,-1.2561111111111112,67,1,-0.15168276439406858,0.12075584958395552,8.281172327844457,46
95,6,-0.0722,0.041,-1.7609756097560976,76,1,-0.19799866294341661,0.11243691385983492,8.893876269555129,46
96,6,-0.1142,0.0667,-1.712143928035982,81,1,-0.1868865044667447,0.1091535012953754,9.161410198780017,46
97,6,-0.0475,0.0108,-4.398148148148148,31,1,-0.6198652039679199,0.14093777269165336,7.095329952374238,46
98,6,-0.1403,0.0779,-1.8010269576379976,121,1,-0.16157829777449254,0.08971453597029913,11.146465722467312,46
99,6,-0.0527,0.0307,-1.7166123778501627,170,1,-0.13053170987870455,0.07604029399006129,13.15092232719015,46
100,6,-0.0825,0.2113,-0.39044013251301474,55,1,-0.05257412729173778,0.13465349208174776,7.426469113722671,46
101,6,-0.169,0.0658,-2.56838905775076,115,1,-0.2329163926531723,0.09068579074898661,11.027085850394647,46
102,6,-0.3121,0.146,-2.1376712328767122,99,1,-0.21005096598025544,0.09826158613622972,10.1769169349007,46
103,6,-0.0532,0.0364,-1.4615384615384615,71,1,-0.17090090620327417,0.11693219898118759,8.551964375192183,46
104,6,-0.022,0.0297,-0.7407407407407407,82,1,-0.08152881324667624,0.11006389788301293,9.085631339923118,46
105,6,-0.114,0.0667,-1.709145427286357,88,1,-0.17924476898749583,0.10487391308303483,9.535259728587045,46
106,6,-0.0345,0.0229,-1.5065502183406114,33,1,-0.2536779792744755,0.16838335435899968,5.938829308911154,46
107,6,-0.0382,0.0113,-3.3805309734513274,137,1,-0.2774770168541503,0.08208089765580887,12.183102628742146,46
108,6,-0.121,0.0458,-2.6419213973799125,170,1,-0.19859033357502853,0.07516890312178766,13.303373582288586,46
109,6,-0.4372,0.206,-2.122330097087379,55,1,-0.27513054737961123,0.12963607676166494,7.713902063223444,46
110,6,-0.1223,0.0481,-2.542619542619543,115,1,-0.23070444219577182,0.09073494415058564,11.021112200613457,46
111,6,-0.0628,0.0011,-57.09090909090908,99,1,-0.985150460765643,0.172558201726466,5.79514615935306,46
112,6,-0.023,0.1,-0.22999999999999998,71,1,-0.02728581510425572,0.11863397871415532,8.429288226179004,46
113,6,0.0028,0.0836,0.03349282296650718,82,1,0.0036986382539396572,0.11043077072476976,9.055447077267376,46
114,6,-0.1884,0.061,-3.0885245901639347,88,1,-0.31272453063696365,0.10125369622534384,9.876182670649998,46
115,6,-0.005,0.002,-2.5,33,1,-0.39904344223381105,0.15961737689352443,6.264982043070834,46
116,6,-0.0989,0.01,-9.89,137,1,-0.6454105427441199,0.152589021985965,6.5535514087768325,46
117,7,0.0546,0.0515,1.0601941747572816,792,1,0.03764565557744037,0.035508264876157124,28.162457486664575,58
118,7,-0.0369,0.0325,-1.1353846153846154,789,1,-0.04038778258113477,0.035571895227286716,28.112081001321336,58
119,7,0.0063,0.012,0.525,140,1,0.044326985452122526,0.08443235324213814,11.843801121261704,58
120,7,0.0541,0.0363,1.4903581267217632,140,1,0.12497079154258255,0.0838528601293114,11.925651652881934,58
121,7,0.1783,0.1258,1.417329093799682,206,1,0.09827200685657014,0.06933605419268941,14.42251093811792,58
122,7,-0.0402,0.0275,-1.461818181818182,205,1,-0.10156980299468615,0.06948183040681266,14.392251818137918,58
123,7,-0.0244,0.0344,-0.7093023255813954,446,1,-0.03356751098948052,0.047324687624513515,21.130620194141848,58
124,7,-0.0535,0.0518,-1.0328185328185329,444,1,-0.04895662433722995,0.047400993283523575,21.096604326804194,58
125,7,0.1614,0.1025,1.5746341463414635,792,1,0.055864809824596726,0.03547796162962307,28.18651224779016,58
126,7,0.0782,0.0513,1.524366471734893,789,1,0.05418914557527215,0.035548633862039145,28.13047623379578,58
127,7,-0.134,0.0451,-2.9711751662971175,792,1,-0.10499259354129965,0.035337059468004584,28.298902485234663,58
128,7,-0.2635,0.0728,-3.6195054945054945,789,1,-0.12780114949685847,0.03530900828603908,28.32138450049283,58
129,7,-0.1608,0.0614,-2.6188925081433223,792,1,-0.09265795616634062,0.03538058774013255,28.264086717408883,58
130,7,-0.2972,0.1158,-2.5664939550949915,789,1,-0.09099058062663828,0.03545326122666458,28.206149882987205,58
131,7,-0.1237,0.0553,-2.236889692585895,792,1,-0.07923451541887042,0.0354217356723002,28.23125352329926,58
132,7,-0.2621,0.0777,-3.373230373230373,789,1,-0.11923348708911828,0.03534697423435518,28.29096469106142,58
133,7,-0.255,0.0823,-3.0984204131227218,789,1,-0.10964166838473652,0.03538631101201496,28.259515371931904,58
134,7,-0.2542,0.082,-3.0999999999999996,707,1,-0.11580312033723357,0.03735584527007535,26.769572278988694,58
135,7,-0.2153,0.0974,-2.21047227926078,789,1,-0.07845234869120137,0.03549121580363685,28.175986011094277,58
136,7,-0.2735,0.1315,-2.079847908745247,707,1,-0.07798252755150062,0.03749434140044728,26.670691166962882,58
137,7,-0.2387,0.0889,-2.68503937007874,789,1,-0.09515617970857339,0.03543939830788511,28.217183353745156,58
138,7,-0.2329,0.0896,-2.599330357142857,707,1,-0.09729408433952214,0.03743044206449628,26.716222006593007,58
139,7,-0.2486,0.0832,-2.987980769230769,751,1,-0.10839058653207849,0.03627553016680986,27.56679214339769,58
140,7,-0.2081,0.1036,-2.008687258687259,713,1,-0.07501397863553594,0.03734477744661952,26.777505942548355,58
141,7,-0.2156,0.0708,-3.0451977401129944,572,1,-0.1263063944449381,0.04147723899212253,24.109608650419638,58
142,7,-0.3363,0.0969,-3.4705882352941173,751,1,-0.1256400266187969,0.03620136360202623,27.62326886338693,58
143,7,-0.3067,0.0927,-3.3085221143473564,713,1,-0.12296481475105278,0.0371660851888575,26.90625054854588,58
144,7,-0.2347,0.0645,-3.6387596899224803,572,1,-0.15041327308625166,0.04133641292741045,24.191745949414333,58
145,7,-0.2574,0.0906,-2.8410596026490067,751,1,-0.10311906529483893,0.036295988017530714,27.55125441183766,58
146,7,-0.2514,0.0825,-3.0472727272727274,713,1,-0.11338530301765198,0.037208780823215146,26.87537666851165,58
147,7,-0.2091,0.0593,-3.5261382799325465,572,1,-0.14585849641505336,0.041364939442432636,24.175062588733983,58
148,7,-0.0032,0.0163,-0.196319018404908,533,1,-0.008503213197236435,0.04331324222342308,23.08762744755267,58
149,7,-0.0011,0.0004,-2.75,685,1,-0.10449685207974593,0.037998855301725795,26.31658222490147,58
150,7,-0.003,0.001,-3.0,533,1,-0.12886103387626732,0.04295367795875577,23.280893453645636,58
151,7,-0.0038,0.0013,-2.9230769230769234,506,1,-0.1288631743470533,0.04408477017136034,22.683570677876638,58
152,7,-0.0034,0.0016,-2.125,533,1,-0.09165652501567095,0.04313248236031574,23.184383213706592,58
153,7,-0.0043,0.0021,-2.047619047619048,506,1,-0.09065296685227672,0.04427237916041421,22.58744659681949,58
154,7,0.0052,0.0316,0.16455696202531644,306,1,0.009406679182054461,0.05716366579863865,17.493629668932375,58
155,7,-0.0325,0.0281,-1.1565836298932384,304,1,-0.06618915493573314,0.0572281616521262,17.473914435321493,58
156,7,0.0499,0.091,0.5483516483516484,298,1,0.031749144296917456,0.05789924110259496,17.271383544182264,58
157,7,-0.0785,0.0644,-1.218944099378882,297,1,-0.0705540476190468,0.05788128237791864,17.276742306274368,58
158,7,-0.0142,0.0556,-0.25539568345323743,754,1,-0.00930055993350556,0.036416276922740076,27.460248122606732,58
159,7,-0.1118,0.048,-2.3291666666666666,751,1,-0.0846871707761709,0.036359429313561745,27.503181949751035,58
160,7,-0.0433,0.0463,-0.9352051835853131,792,1,-0.03321273576220492,0.0355138490944593,28.15802920545763,58
161,7,-0.0313,0.0405,-0.7728395061728395,789,1,-0.027503406787426885,0.03558747523612744,28.09977368062422,58
162,7,-0.299,0.1233,-2.424979724249797,576,1,-0.1005289624130898,0.04145558884793971,24.122199871964877,58
163,7,-0.2826,0.0617,-4.580226904376014,506,1,-0.19952189174196946,0.04356157367473289,22.95601181598341,58
164,7,-0.3214,0.12,-2.6783333333333337,576,1,-0.11090873382896717,0.041409608150205536,24.148984853290298,58
165,7,-0.2945,0.108,-2.7268518518518516,506,1,-0.120342354290268,0.04413234045279778,22.659120040768308,58
166,7,-0.2725,0.137,-1.989051094890511,576,1,-0.08259396115960589,0.04152430340868259,24.082282372277035,58
