id,idstudy,eis,se,micro,panel,quasipan,sepdur,sepgov,septrd,seplab,seprisk,habits,inverse,secord,exact,yearfe,totalc,food,tastes,ml,tsls,coint,ols,bayes,income,inflinst,firstlag,stockhold,nonstock,irstock,ircap,country,idcountry,annual,monthly,startyear,endyear,periods,obs,csunits,years,avyear,top,impact,cits,yearcits,pubyear,comb,study,perstudy,last
28,1,2.1739130434782608,0.6559546313799622,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1977,227,227,1.0,18.916666,1968.0,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
29,1,1.0463534581981793,0.09831802924159935,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1977,227,227,1.0,18.916666,1968.0,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,0
30,1,1.2368583797155226,0.774088237645089,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,1,1959,1977,227,227,1.0,18.916666,1968.0,1,2.651,1990,64.19355,1982,0,Hansen and Singleton (1982),30,1
31,2,3.0769230769230766,7.839053254437869,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
32,2,1.203369434416366,1.0802811047829228,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
33,2,0.8,0.41408,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
34,2,-2.785515320334262,14.587099727655744,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
35,2,3.7878787878787876,26.328627180899904,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
36,2,0.6626905235255136,0.6899183647836857,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
37,2,0.3675119441381845,0.4304522476914347,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
38,2,0.3743916136278548,1.3044134617824097,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,USA,112,0,0,1954,1978,97,97,1.0,24.25,1966.0,1,2.159,1368,45.6,1983,0,Hansen and Singleton (1983),14,0
