id_study,study,id_estimate,estimate,se_estimate,t_stat,se_imputed,interaction_term,direct_est,sample_size,ln_sample_size,data_firms,ln_data firms,bgd_mean,ln_bgd_mean,method_linear,method_panel,method_iv,method_gmm,method_tobit,method_quantile,method_other,data_panel,data_cross-section,proper_endog_control,poor_endog_control,control_firm_lev,control_firm_size,control_board_ind,control_board_size,control_csr_com,bloomberg,eikon,global,europe,us,asia,middle_east,other,developed,emerging,financial,non-financial,cross_sector,sector,sector_cat,country,country_cat,published_study,unpublished_study,pub_year,ln_publication_year,citations,ln_citations,impact_factor,ln_impact_factor,data_start,data_end,data_mid_year,ln_avg_year,data_length,ln_data_length,data_variables,ln_data_variables,Reference
2,Adeneye et al. (2024),17,0.379,0.0582,6.512027491408935,0,0,1,451,6.111467339502679,198.0,5.288267030694535,25.192,3.226526483798724,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,non-financial,Non-financial Firms,UK,UK,1,0,2024,7.612831030407357,25,3.218875824868201,0.008,-4.828313737302302,2016,2020,2018.0,7.609862200913554,5,1.6094379124341,8,2.079441541679836,"Adeneye, Yusuf Babatunde, Setareh Fasihi, Ines Kammoun, and Khaldoon Albitar, 'Does earnings management constrain ESG performance? The role of corporate governance', International Journal of Disclosure and Governance, 21, no. 1 (2024), 69–92."
3,Adiasih & Lianawati (2018),1,-0.330299,0.0990283,-3.3354,0,0,1,135,4.90527477843843,27.0,3.295836866004329,6.07,1.803358605071407,1,0,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,mixed,Cross-sector,Indonesia,Indonesia,0,1,2018,7.609862200913554,6,1.791759469228055,,,2012,2016,2014.0,7.607878073278507,5,1.6094379124341,3,1.09861228866811,"Adiasih, Priskila and Vania Lianawati, 'Asymmetry and Governance of Corporate Social Responsible Disclosure in Indonesia' (PhD thesis, Petra Christian University, 2018)."
3,Adiasih & Lianawati (2018),2,-0.330299,0.0992746,-3.3271,0,0,1,135,4.90527477843843,27.0,3.295836866004329,6.07,1.803358605071407,0,1,0,0,0,0,0,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,mixed,Cross-sector,Indonesia,Indonesia,0,1,2018,7.609862200913554,6,1.791759469228055,,,2012,2016,2014.0,7.607878073278507,5,1.6094379124341,3,1.09861228866811,"Adiasih, Priskila and Vania Lianawati, 'Asymmetry and Governance of Corporate Social Responsible Disclosure in Indonesia' (PhD thesis, Petra Christian University, 2018)."
4,Agnese et al. (2024a) ,1,0.003,0.001,3.0,0,0,1,590,6.380122536899765,109.0,4.691347882229143,28.04,3.33363206216639,1,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,mixed,Cross-sector,Africa,Africa,1,0,2024,7.612831030407357,2,0.6931471805599453,0.016,-4.135166556742356,2016,2022,2019.0,7.610357618312838,7,1.945910149055313,15,2.70805020110221,"Agnese, Paolo, Francesca Romana Arduino, Emma Bruno, and Gianfranco Antonio Vento, 'On the Road to Sustainability: The Role of Board Characteristics in Driving ESG Performance in Africa', Socio-Economic Planning Sciences (2024), 101994."
4,Agnese et al. (2024a) ,2,0.013,0.003,4.333333333333333,0,0,1,590,6.380122536899765,109.0,4.691347882229143,28.04,3.33363206216639,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,mixed,Cross-sector,Africa,Africa,1,0,2024,7.612831030407357,2,0.6931471805599453,0.016,-4.135166556742356,2016,2022,2019.0,7.610357618312838,7,1.945910149055313,15,2.70805020110221,"Agnese, Paolo, Francesca Romana Arduino, Emma Bruno, and Gianfranco Antonio Vento, 'On the Road to Sustainability: The Role of Board Characteristics in Driving ESG Performance in Africa', Socio-Economic Planning Sciences (2024), 101994."
4,Agnese et al. (2024a) ,3,0.008,0.002,4.0,0,0,1,590,6.380122536899765,109.0,4.691347882229143,28.04,3.33363206216639,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,mixed,Cross-sector,Africa,Africa,1,0,2024,7.612831030407357,2,0.6931471805599453,0.016,-4.135166556742356,2016,2022,2019.0,7.610357618312838,7,1.945910149055313,15,2.70805020110221,"Agnese, Paolo, Francesca Romana Arduino, Emma Bruno, and Gianfranco Antonio Vento, 'On the Road to Sustainability: The Role of Board Characteristics in Driving ESG Performance in Africa', Socio-Economic Planning Sciences (2024), 101994."
4,Agnese et al. (2024a) ,4,0.004,0.002,2.0,0,0,1,590,6.380122536899765,109.0,4.691347882229143,28.04,3.33363206216639,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,mixed,Cross-sector,Africa,Africa,1,0,2024,7.612831030407357,2,0.6931471805599453,0.016,-4.135166556742356,2016,2022,2019.0,7.610357618312838,7,1.945910149055313,15,2.70805020110221,"Agnese, Paolo, Francesca Romana Arduino, Emma Bruno, and Gianfranco Antonio Vento, 'On the Road to Sustainability: The Role of Board Characteristics in Driving ESG Performance in Africa', Socio-Economic Planning Sciences (2024), 101994."
4,Agnese et al. (2024a) ,5,0.002,0.002,1.0,0,0,1,590,6.380122536899765,109.0,4.691347882229143,28.04,3.33363206216639,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,mixed,Cross-sector,Africa,Africa,1,0,2024,7.612831030407357,2,0.6931471805599453,0.016,-4.135166556742356,2016,2022,2019.0,7.610357618312838,7,1.945910149055313,15,2.70805020110221,"Agnese, Paolo, Francesca Romana Arduino, Emma Bruno, and Gianfranco Antonio Vento, 'On the Road to Sustainability: The Role of Board Characteristics in Driving ESG Performance in Africa', Socio-Economic Planning Sciences (2024), 101994."
4,Agnese et al. (2024a) ,6,0.002,0.002,1.0,0,0,1,590,6.380122536899765,109.0,4.691347882229143,28.04,3.33363206216639,0,0,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,1,0,0,1,mixed,Cross-sector,Africa,Africa,1,0,2024,7.612831030407357,2,0.6931471805599453,0.016,-4.135166556742356,2016,2022,2019.0,7.610357618312838,7,1.945910149055313,15,2.70805020110221,"Agnese, Paolo, Francesca Romana Arduino, Emma Bruno, and Gianfranco Antonio Vento, 'On the Road to Sustainability: The Role of Board Characteristics in Driving ESG Performance in Africa', Socio-Economic Planning Sciences (2024), 101994."
5,Agnese et al. (2024b) ,1,0.17,0.054,3.148148148148148,0,0,1,799,6.683360945766275,115.0,4.74493212836325,28.76,3.358985532852846,0,1,0,0,0,0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,banks,Financial Services,EU,Europe,1,0,2024,7.612831030407357,5,1.6094379124341,0.049,-3.01593498087151,2014,2022,2018.0,7.609862200913554,9,2.19722457733622,10,2.302585092994046,"Agnese, Paolo, Francesca Romana Arduino, Massimiliano Cerciello, and Simone Taddeo, 'Does board knowledge matter for ESG performance in the European banking industry?', Corporate Social Responsibility and Environmental Management (2024)."
