idstudy,idauthor,study,discrate,standard_error,hyperbolic_discounting,exponential_discounting,delay,frontend_delay,lab_experiment,real_reward,matching_task,health_domain,other_domain,negative_framing,neutral_framing,stakes,sample_size,students,males_only,females_only,north_america,asia,africa,citations,publication_year,elicitation_method,discounting,domain,money_domain,nobs,instrument,country,continent,impact_factor,year,invperst,invperst_origse
35,30,Warner & Pleeter (2001),0.714,,0,0,2.6390573296152584,0,0,1,0,0,0,0,0,1.4138807799584963,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.159,,0,0,2.8903717578961645,0,0,1,0,0,0,0,0,1.5753254343532963,9.324739912284679,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,11212.0,0.009444053865108134,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.232,,0,0,2.8903717578961645,0,0,1,0,0,0,0,0,1.5753254343532963,9.324739912284679,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,11212.0,0.009444053865108134,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.381,,0,0,2.8903717578961645,0,0,1,0,0,0,0,0,1.4738479094112438,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.607,,0,0,2.8903717578961645,0,0,1,0,0,0,0,0,1.4738479094112438,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.111,,0,0,3.091042453358316,0,0,1,0,0,0,0,0,1.6552465440134407,9.324739912284679,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,11212.0,0.009444053865108134,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.18,,0,0,3.091042453358316,0,0,1,0,0,0,0,0,1.6552465440134407,9.324739912284679,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,11212.0,0.009444053865108134,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.353,,0,0,3.091042453358316,0,0,1,0,0,0,0,0,1.5570687701176094,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.527,,0,0,3.091042453358316,0,0,1,0,0,0,0,0,1.5570687701176094,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.046,,0,0,3.258096538021482,0,0,1,0,0,0,0,0,1.6552465440134407,9.324739912284679,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,11212.0,0.009444053865108134,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.132,,0,0,3.258096538021482,0,0,1,0,0,0,0,0,1.6552465440134407,9.324739912284679,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,11212.0,0.009444053865108134,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.327,,0,0,3.258096538021482,0,0,1,0,0,0,0,0,1.5570687701176094,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
35,30,Warner & Pleeter (2001),0.459,,0,0,3.258096538021482,0,0,1,0,0,0,0,0,1.5570687701176094,10.920003637661642,0,0,0,1,0,0,3.5160130560907366,-0.27252929102278184,lump-sum vs annuity choice,na,money,1,55271.0,0.004253548008323874,USA,North America,2.329,2001,0.022727272727272728,
