LABEL,IDSTUDY,IDAUTHOR,COUNTRY,COUNTRYA,ESTIMATE,SE,TSTAT,PRECISION,PCC,PCCSE,N,K,DF,REGRESSION,SIMULATION,RESIDENT,LIGHT,USA,PUBYEAR,DSTYEAR,PERIOD,HOUR,DAY,MONTH,DID,LOG,MAIN,CITATIONS,JOURNAL,IMPACT,WEIGHT,LATITUDE,DAYLIGHT,EUROPE,REFERENCE
Belzer et al. (2008),7,5,USA,USA,-0.8,0.2,-4,5,-0.0976481485018548,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.8,0.2,-4,5,-0.0976481485018548,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.7000000000000001,0.2,-3.5,5,-0.08553776343912399,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.5,0.2,-2.5,5,-0.061208176587469874,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.4,0.2,-2,5,-0.048999595755002526,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,0.0,0.2,0,5,0,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.7000000000000001,0.4,-1.75,2.5,-0.04288671469886099,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.6,0.2,-3,5,-0.07338934806452314,.,2112,450,1662,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.4,0.4,-1,2.5,-0.031766046899489794,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.6,0.3,-2,3.333333333333333,-0.06343614796955512,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
Belzer et al. (2008),7,5,USA,USA,-0.6,0.3,-2,3.333333333333333,-0.06343614796955512,.,1440,450,990,1,0,0,0,1,2008,2006,2,1,0,0,1,1,0,7,0,0.0,0.0149254,37.751,14.766666666666667,0,"Belzer, D. B., S. W. Hadley, & S. M. Chin (2008): Impact of extended daylight saving time on national energy consumption. Technical report 10/2008, US Department of Energy Office of Energy Efficiency and Renewable Energy."
