idstudy,e,se,t,prec,longr,pubdate,cs,tscs,usdata,csection
13,-0.32,0.037647058823529415,-8.5,26.562499999999996,0,1984,0,0,1,0
13,-0.28,0.04745762711864407,-5.9,21.07142857142857,0,1984,0,0,0,0
13,-0.24,0.04897959183673469,-4.9,20.416666666666668,0,1984,0,0,0,0
13,-0.53,0.06973684210526317,-7.6,14.339622641509433,0,1984,0,0,0,0
13,-0.41,0.0706896551724138,-5.8,14.146341463414634,0,1984,0,0,0,0
13,-0.57,0.07307692307692307,-7.800000000000001,13.684210526315791,0,1984,0,0,0,0
13,-0.52,0.07536231884057971,-6.8999999999999995,13.269230769230768,0,1984,0,0,0,0
14,-0.2095,0.052757491815663554,-3.9710000000000005,18.954653937947498,0,1993,0,1,0,1
15,-0.463,0.05302336234539625,-8.732,18.85961123110151,1,1995,0,0,0,0
15,-0.372,0.048130417906585586,-7.729,20.776881720430108,0,1995,0,0,0,0
16,-0.734,0.1,-7.34,10.0,1,1983,0,1,0,1
16,-0.364,0.1,-3.6399999999999997,10.0,0,1983,0,1,0,1
18,-0.023,0.012,-1.9166666666666665,83.33333333333333,0,1974,0,1,1,1
18,-0.075,0.013,-5.769230769230769,76.92307692307692,0,1974,0,1,1,1
18,-0.081,0.013,-6.230769230769231,76.92307692307692,0,1974,0,1,1,1
18,-0.075,0.013,-5.769230769230769,76.92307692307692,0,1974,0,1,1,1
18,-0.121,0.016,-7.5625,62.5,0,1974,0,1,1,1
19,-0.82,0.185,-4.4324324324324325,5.405405405405405,1,1974,0,1,0,1
19,-0.465,0.105,-4.428571428571429,9.523809523809524,0,1974,0,1,0,1
20,-0.62,0.05893536121673004,-10.52,16.96774193548387,0,1978,0,1,0,1
20,-0.22,0.06267806267806268,-3.51,15.954545454545453,0,1978,0,1,0,1
20,-0.21,0.08974358974358974,-2.34,11.142857142857142,0,1978,0,1,0,1
20,-0.18,0.09090909090909091,-1.98,11.0,0,1978,0,1,0,1
20,0.08,0.0975609756097561,0.82,10.25,0,1978,0,1,0,1
20,-0.02,0.16666666666666669,-0.12,5.999999999999999,0,1978,0,1,0,1
20,-0.11,0.18333333333333335,-0.6,5.454545454545454,0,1978,0,1,0,1
20,-0.11,0.21153846153846154,-0.52,4.7272727272727275,0,1978,0,1,0,1
20,-0.96,1.054945054945055,-0.9099999999999999,0.9479166666666666,0,1978,0,1,0,1
21,-1.59,0.33799999999999997,-4.70414201183432,2.958579881656805,1,1980,0,1,1,1
21,-0.0657,0.0169,-3.8875739644970415,59.1715976331361,0,1980,0,1,1,1
22,-0.149,0.0298,-5.0,33.557046979865774,0,1985,0,1,1,1
22,-0.199,0.030151515151515155,-6.6,33.16582914572864,0,1985,0,1,1,1
22,-0.106,0.03925925925925926,-2.7,25.471698113207548,0,1985,0,1,1,1
22,-0.32,0.05333333333333334,-6.0,18.75,0,1985,0,1,1,1
22,-0.321,0.06173076923076923,-5.2,16.1993769470405,0,1985,0,1,1,1
23,-0.289,0.1482051282051282,-1.9499999999999997,6.747404844290657,1,1978,0,1,1,1
24,-0.319,0.0820051413881748,-3.89,12.194357366771161,1,1999,0,0,0,0
24,-0.209,0.05842885099245177,-3.577,17.114832535885167,0,1999,0,0,0,0
25,-0.65,0.36,-1.8055555555555556,2.7777777777777777,1,1975,1,0,1,1
25,-0.74,0.41,-1.8048780487804879,2.4390243902439024,1,1975,1,0,1,1
26,-0.33,0.165,-2.0,6.0606060606060606,1,1979,0,0,1,0
26,-0.21,0.105,-2.0,9.523809523809524,0,1979,0,0,1,0
29,-0.77,0.18032786885245905,-4.27,5.545454545454544,1,1991,1,0,0,1
29,-0.91,0.18958333333333335,-4.8,5.274725274725274,1,1991,1,0,0,1
29,-1.25,0.2003205128205128,-6.24,4.992000000000001,1,1991,1,0,0,1
29,-1.08,0.20338983050847462,-5.31,4.916666666666666,1,1991,1,0,0,1
29,-0.78,0.2058047493403694,-3.79,4.858974358974359,1,1991,1,0,0,1
29,-0.95,0.2087912087912088,-4.55,4.7894736842105265,1,1991,1,0,0,1
29,-1.05,0.2196652719665272,-4.78,4.552380952380952,1,1991,1,0,0,1
29,-1.19,0.22537878787878785,-5.28,4.436974789915967,1,1991,1,0,0,1
29,-1.2,0.23529411764705882,-5.1,4.25,1,1991,1,0,0,1
29,-1.14,0.23553719008264462,-4.84,4.245614035087719,1,1991,1,0,0,1
29,-0.87,0.23577235772357724,-3.69,4.241379310344827,1,1991,1,0,0,1
29,-1.34,0.23758865248226954,-5.64,4.208955223880596,1,1991,1,0,0,1
29,-1.2,0.2434077079107505,-4.93,4.108333333333333,1,1991,1,0,0,1
29,-0.98,0.25,-3.92,4.0,1,1991,1,0,0,1
29,-1.27,0.258130081300813,-4.92,3.8740157480314963,1,1991,1,0,0,1
29,-1.13,0.26096997690531176,-4.33,3.8318584070796464,1,1991,1,0,0,1
29,-0.18,0.01764705882352941,-10.2,56.666666666666664,0,1991,0,1,0,1
29,-0.15,0.019230769230769232,-7.799999999999999,52.0,0,1991,0,1,0,1
29,-0.18,0.01956521739130435,-9.2,51.11111111111111,0,1991,0,1,0,1
29,-0.15,0.023076923076923075,-6.5,43.333333333333336,0,1991,0,1,0,1
29,-0.15,0.023809523809523808,-6.3,42.0,0,1991,0,1,0,1
29,-0.14,0.027450980392156866,-5.1,36.42857142857142,0,1991,0,1,0,1
29,-0.14,0.02916666666666667,-4.8,34.28571428571428,0,1991,0,1,0,1
29,-0.2,0.030303030303030307,-6.6,32.99999999999999,0,1991,0,1,0,1
29,-0.19,0.03064516129032258,-6.2,32.631578947368425,0,1991,0,1,0,1
29,-0.25,0.03164556962025316,-7.900000000000001,31.600000000000005,0,1991,0,1,0,1
29,-0.13,0.0325,-4.0,30.769230769230766,0,1991,0,1,0,1
29,-0.25,0.03333333333333333,-7.5,30.0,0,1991,0,1,0,1
29,-0.17,0.038636363636363635,-4.4,25.88235294117647,0,1991,0,1,0,1
29,-0.3,0.04411764705882353,-6.799999999999999,22.666666666666664,0,1991,0,1,0,1
29,-0.29,0.04677419354838709,-6.2,21.379310344827587,0,1991,0,1,0,1
