effect,se,n_obs,study_id
-0.1177240655216693,0.0405072053407894,602,25
-0.1297349385243031,0.0397574811606735,623,25
-0.1447050668395004,0.0326753376734355,918,25
-0.2973949995030334,0.1041722597129269,85,25
-0.2244132565691209,0.1050823979172868,87,25
-0.2746281379311856,0.0846598019186361,130,25
-0.1991580002927494,0.0554797286529802,313,25
-0.1230891597673218,0.0553901218952948,322,25
-0.2118729864061778,0.045079358809825,471,25
0.0380554256287301,0.0573123879950755,305,25
-0.1048464253918993,0.055506931089829,322,25
-0.0968235544987236,0.0461064545232017,467,25
0.0611738234221579,0.1853475545477324,30,25
-0.0084187001810092,0.1795989371948636,32,25
-0.0398424908072654,0.1560497556617895,42,25
-0.0930698580831403,0.0426102964717991,547,25
-0.0988643183198993,0.0418272115968805,567,25
-0.1286639172341995,0.0344635492591605,829,25
-0.050329404137372,0.0715207321952129,196,25
-0.1153470824996979,0.0692082494998187,207,25
-0.0773639352703273,0.0571820391128506,305,25
-0.3341049393040488,0.1965323172376755,29,26
-0.6890639335552894,0.1511105117445812,29,26
0.0416666666666666,0.2083333333333333,29,26
-0.2715414798967073,0.1212543715262026,65,27
-0.570446537127383,0.1935904537762612,21,27
-0.2217800100436634,0.1780274910554577,33,27
-0.2222754390874094,0.1228364268640947,65,27
-0.2548083527222621,0.2279220996772273,21,27
-0.1760056210968924,0.1797240497116154,33,27
0.1304579690482708,0.1780703665111433,33,27
0.149698016358161,0.1255690597741153,65,27
-0.020572826446882,0.2356523756642853,21,27
-0.0358930901310865,0.1824565414996898,33,27
-0.2621535451310065,0.1351306933664987,53,28
-0.2505465085951648,0.1369106604345164,53,28
-0.2619506316745731,0.1378687535129336,53,28
-0.3928840487306461,0.1327310975441367,53,28
-0.4186051046068059,0.1324699698122804,53,28
-0.4688390349635606,0.1302330652676558,53,28
-0.3676148871397221,0.1356512498670567,53,28
-0.2354386592548176,0.1360917105519176,53,28
-0.210159761768153,0.1382630011632579,53,28
-0.2135303893993314,0.1395623460126348,53,28
-0.3418213369160902,0.135643387665115,53,28
-0.3617270305177371,0.1359876054577957,53,28
-0.3988581114412427,0.1352061394716074,53,28
-0.385014210476079,0.1346203533133149,53,28
-0.388446123406,0.1344104233238747,53,28
0.0353332626668786,0.1413330506675146,53,28
0.0185682267757176,0.1428325136593667,53,28
-0.0748450175907456,0.1439327261360494,53,28
-0.1073167271521169,0.1450226042596176,53,28
-0.1372831948804508,0.1460459520004797,53,28
-0.4749448199254117,0.1283634648447,53,28
-0.0014142121481616,0.1414212148161654,53,28
-0.0199960011996001,0.1428285799971438,53,28
-0.1062057028190592,0.1435212200257559,53,28
-0.131583013402394,0.1445967180246087,53,28
-0.1572560600904055,0.1456074630466717,53,28
-0.2683810132819121,0.1405136195193218,53,28
-0.2446763189259346,0.1414313982230867,53,28
-0.3703152264550469,0.1252536795362658,66,29
-0.6507913734559685,0.1084652289093281,60,29
-0.1576668477240217,0.1410703374372826,60,29
-0.3267870042871854,0.0749511477722902,165,30
-0.4057274086270924,0.0718101608189544,165,30
0.0571933832002077,0.1505089031584415,50,30
-0.4125760120352206,0.138914482166741,49,30
-0.4078948656820937,0.1346187675518461,49,30
-0.4642392680477176,0.114344647302393,66,30
-0.6843724470596272,0.0918620734308224,66,30
-0.3023715784073817,0.0755928946018454,165,30
-0.3624623234754152,0.0732247118132152,165,30
-0.283658064032182,0.0760477383464295,165,30
-0.3586369486817777,0.073340889300977,165,30
-0.5465659390410483,0.0664114142212695,165,30
-0.5465659390410483,0.0664114142212695,165,30
-0.2753623188405804,0.144927536231884,50,30
-0.3605442176870749,0.1360544217687074,50,30
-0.5179004487016446,0.1304535135268619,49,30
-0.5294671798210454,0.12789062314518,49,30
-0.7564977738183063,0.0844305551136501,66,30
-0.7564977738183063,0.0844305551136501,66,30
-0.5679001195865423,0.0652758758145451,165,30
-0.5679001195865423,0.0652758758145451,165,30
-0.4172881123861198,0.0720704857316268,165,30
-0.440126056231526,0.07098807358573,165,30
-0.2358290626389631,0.0770683211238442,165,30
-0.2875851757463881,0.0754816734242489,165,30
0.2413909077316118,0.1462975198373404,50,30
0.3413839685997146,0.1371019954215721,50,30
-0.3710274080811666,0.1416135145347964,49,30
-0.3769440891777021,0.1351054083074202,49,30
-0.364291908260647,0.1202283525612695,66,30
-0.3445555977331827,0.1192233902190939,66,30
-0.2416388554568743,0.0769550495085587,165,30
-0.2581160993577787,0.0761404422884304,165,30
-0.1642782166831396,0.0782277222300665,165,30
-0.2030951904481247,0.0769299963818654,165,30
-0.5347636698150036,0.0670129912048876,165,30
-0.5347636698150036,0.0670129912048876,165,30
-0.3288740238521309,0.1423697072952947,50,30
-0.3211526326420427,0.1396315794095837,50,30
-0.6599466679233716,0.114574074292252,49,30
-0.6444126224864342,0.1152795389063389,49,30
-0.614280725234549,0.1018707670372383,66,30
-0.614280725234549,0.1018707670372383,66,30
-0.4984466269138868,0.068751258884674,165,30
-0.4984466269138868,0.068751258884674,165,30
-0.4046705182039711,0.0725215982444392,165,30
-0.4046705182039711,0.0725215982444392,165,30
0.0860235455775429,0.159534575434716,55,31
0.1778570701178993,0.1575751235255073,55,31
-0.738485493928126,0.2247564546737775,12,32
-0.7861724322414547,0.2060024020311833,12,32
-0.3410029625539464,0.3133540736982211,12,32
-0.6256854940024454,0.2600251403646526,12,32
-0.0370159087830027,0.0132723870225321,5691,33
0.0156590679037199,0.0132798606873407,5691,33
-0.0466953020768826,0.013267001418835,5691,33
-0.0302681303029052,0.0132754037635468,5691,33
-0.025972542601226,0.0132770087177909,5691,33
-0.1372527032615034,0.0953143772649328,117,34
-0.2012105581192658,0.085258711067485,139,34
-0.2016897941485422,0.0942475673591316,118,34
-0.3407504774857841,0.2004414573445789,33,34
-0.3743767667713378,0.0786505812544822,144,34
-0.5170171375940477,0.1123950299117495,64,35
-0.523674856286105,0.1138423600621967,64,35
-0.5399055247990171,0.1124803176664619,64,35
-0.5956833971812706,0.1083060722147764,64,35
0.0330951696160747,0.132380678464299,64,35
-0.609211433057273,0.1050364539753919,64,35
-0.4645779923525673,0.1366405859860492,50,36
-0.2948839123097942,0.1474419561548971,50,36
-0.2810022422455664,0.1599511852490701,42,37
-0.1034912889619369,0.1657717266729728,42,37
-0.4781594751903613,0.1484552377255927,42,37
0.1425436848211389,0.167304794391008,42,37
-0.1296971521497424,0.1726073358394226,42,37
-0.1906888133111007,0.1708834244207369,42,37
-0.4176599496526592,0.1606199091076642,42,37
-0.6312453174812149,0.1371050406118927,42,37
-0.1188474552760877,0.1728438849274105,42,37
-0.0776989599445031,0.1735513959001633,42,37
-0.1484724173878238,0.1748173994911382,42,37
-0.1133042755640674,0.175638312764017,42,37
-0.0273948465271366,0.0178932854538552,3132,38
0.0168982577104665,0.0506947731313997,396,39
-0.0089911884574604,0.0659353820213766,237,39
-0.1167854589667629,0.0467141835867051,459,39
-0.0035082464700636,0.0479460350908701,442,39
-0.0125646528935409,0.0481645027585737,438,39
-0.0084391941899449,0.0506351651396695,396,39
-0.0087723517121932,0.0657926378414492,237,39
-0.0183819756557635,0.0469761600091736,459,39
0.0012124374445777,0.0478912790608195,442,39
-0.006501554805188,0.0481115055583918,438,39
-0.1012754732922172,0.0467425261348694,459,39
-0.1156396693199214,0.0910548577322216,126,40
-0.59199642699398,0.1215001150791038,53,41
-0.5671176043255847,0.1241679235829822,53,41
-0.1272364465325935,0.0365113281354398,750,42
0.3598720682262389,0.1332859511949027,53,43
0.7071067811865476,0.101015254455221,53,43
